X.1,X,...1,Name,Address,prktype,restroom,Website,playground,soccer,basketball,tennis,volleyball,baseball,discgolf,dogpark,picnic,sprayground,latitude,longitude,Label,type2
14,14,17,West Mecklenburg Park,"2765 WESTERWOOD VILLAGE DR. CHARLOTTE, NC 28214",Neighborhood,No,https://www.mecknc.gov/parkandrec/pages/home.aspx?redirect=charmeck,NA,NA,NA,NA,NA,Yes,NA,NA,NA,NA,35.25026376,-80.95477681,,baseball
16,16,19,Ramblewood Soccer Complex,"10200 NATIONS FORD RD CHARLOTTE, NC 28273",Community,Yes,https://www.mecknc.gov/parkandrec/pages/home.aspx?redirect=charmeck,Yes,NA,Yes,NA,NA,Yes,NA,NA,NA,NA,35.12047477,-80.90342041,,baseball
25,25,29,Greenville Park,"1232 SPRING ST CHARLOTTE, NC 28206",Neighborhood,No,https://www.mecknc.gov/parkandrec/pages/home.aspx?redirect=charmeck,Yes,NA,Yes,NA,NA,Yes,NA,NA,NA,NA,35.24524227,-80.84363766,,baseball
26,26,30,Southwest Park,"1729 VILMA ST CHARLOTTE, NC 28203",Community,Yes,https://www.mecknc.gov/parkandrec/pages/home.aspx?redirect=charmeck,NA,NA,NA,NA,NA,Yes,NA,NA,NA,NA,35.21006434,-80.91727839,,baseball
28,28,32,Friendship Sportsplex,"2310 CINDY LN CHARLOTTE, NC 28216",Regional,Yes,https://www.mecknc.gov/parkandrec/pages/home.aspx?redirect=charmeck,Yes,NA,NA,NA,NA,Yes,NA,NA,NA,NA,35.28343774,-80.85280261,,baseball
36,36,42,Reedy Creek Park,"2900 ROCKY RIVER RD CHARLOTTE, NC 28215",Regional,Yes,https://www.mecknc.gov/parkandrec/pages/home.aspx?redirect=charmeck,Yes,NA,Yes,NA,Yes,Yes,Yes,Yes,NA,NA,35.27599468,-80.71807255,,baseball
37,37,43,Clanton Park,"1520 CLANTON RD CHARLOTTE, NC 28217",Community,Yes,https://www.mecknc.gov/parkandrec/pages/home.aspx?redirect=charmeck,Yes,NA,Yes,NA,NA,Yes,NA,NA,NA,NA,35.20662524,-80.89361304,,baseball
41,41,47,Grayson Park,"750 BEAL ST CHARLOTTE, NC 28211",Neighborhood,No,https://www.mecknc.gov/parkandrec/pages/home.aspx?redirect=charmeck,Yes,NA,Yes,Yes,NA,Yes,NA,NA,NA,NA,35.19039483,-80.79653044,,baseball
46,46,52,Oakhurst Park,"3533 CRAIG AV CHARLOTTE, NC 28211",Neighborhood,No,https://www.mecknc.gov/parkandrec/pages/home.aspx?redirect=charmeck,Yes,NA,Yes,NA,NA,Yes,NA,NA,Yes,NA,35.1911805,-80.78964427,,baseball
63,63,69,Methodist Home Park,"3200 SHAMROCK DR CHARLOTTE, NC 28205",Neighborhood,No,https://www.mecknc.gov/parkandrec/pages/home.aspx?redirect=charmeck,Yes,NA,Yes,NA,NA,Yes,NA,NA,Yes,NA,35.23486078,-80.77167743,,baseball
